date,source_id,cost,impressions,clicks,ctr,cpc
11/03/2024,6,$555.01,4305,287,6.67%,$1.93
12/03/2024,5,$376.92,7878,483,6.13%,$0.78
12/03/2024,6,$174.26,4149,79,1.90%,$2.21
13/03/2024,5,$473.39,9818,375,3.82%,$1.26
13/03/2024,6,$946.00,1384,435,31.43%,$2.17
14/03/2024,5,$747.55,4619,393,8.51%,$1.90
14/03/2024,6,$582.74,9921,240,2.42%,$2.43
15/03/2024,5,$905.37,2796,351,12.55%,$2.58
15/03/2024,6,$369.44,5699,93,1.63%,$3.97
16/03/2024,5,$867.84,4212,475,11.28%,$1.83
16/03/2024,6,$923.43,8612,305,3.54%,$3.03
17/03/2024,5,$790.38,8511,312,3.67%,$2.53
17/03/2024,6,$579.81,3364,406,12.07%,$1.43
18/03/2024,5,$549.38,2883,340,11.79%,$1.62
18/03/2024,6,$815.21,3977,436,10.96%,$1.87
19/03/2024,5,$259.03,8646,206,2.38%,$1.26
19/03/2024,6,$414.61,1911,139,7.27%,$2.98
20/03/2024,5,$272.75,9302,303,3.26%,$0.90
20/03/2024,6,$817.83,9786,339,3.46%,$2.41
21/03/2024,5,$695.92,4037,256,6.34%,$2.72
21/03/2024,6,$105.58,9158,50,0.55%,$2.11
22/03/2024,5,$803.65,7903,317,4.01%,$2.54
22/03/2024,6,$447.19,9924,176,1.77%,$2.54
23/03/2024,5,$254.04,9228,344,3.73%,$0.74
23/03/2024,6,$282.25,6013,358,5.95%,$0.79
24/03/2024,5,$873.66,3218,440,13.67%,$1.99
24/03/2024,6,$788.69,9247,369,3.99%,$2.14
25/03/2024,5,$715.76,9278,228,2.46%,$3.14
25/03/2024,6,$750.49,8968,269,3.00%,$2.79
26/03/2024,5,$455.16,5954,98,1.65%,$4.64
26/03/2024,6,$445.68,4520,316,6.99%,$1.41
27/03/2024,5,$593.97,6607,461,6.98%,$1.29
27/03/2024,6,$473.89,6967,427,6.13%,$1.11
28/03/2024,5,$485.68,3199,469,14.66%,$1.04
28/03/2024,6,$545.06,1946,330,16.96%,$1.65
29/03/2024,5,$155.58,5219,480,9.20%,$0.32
29/03/2024,6,$227.74,3327,304,9.14%,$0.75
30/03/2024,5,$611.75,1977,400,20.23%,$1.53
30/03/2024,6,$608.04,3362,216,6.42%,$2.82
31/03/2024,5,$338.46,5143,316,6.14%,$1.07
31/03/2024,6,$772.34,5878,279,4.75%,$2.77
01/04/2024,5,$353.28,7403,311,4.20%,$1.14
01/04/2024,6,$218.03,6632,210,3.17%,$1.04
02/04/2024,5,$934.73,7340,272,3.71%,$3.44
02/04/2024,6,$968.84,1126,118,10.48%,$8.21
03/04/2024,5,$532.06,5752,66,1.15%,$8.06
03/04/2024,6,$966.19,3686,132,3.58%,$7.32
04/04/2024,5,$709.37,4099,177,4.32%,$4.01
04/04/2024,6,$565.59,6577,341,5.18%,$1.66
05/04/2024,5,$597.06,7227,364,5.04%,$1.64
05/04/2024,6,$231.78,3022,477,15.78%,$0.49
06/04/2024,5,$225.52,9395,143,1.52%,$1.58
06/04/2024,6,$135.47,5224,499,9.55%,$0.27
07/04/2024,5,$902.54,6164,229,3.72%,$3.94
07/04/2024,6,$313.19,9458,299,3.16%,$1.05
08/04/2024,5,$937.47,2683,111,4.14%,$8.45
08/04/2024,6,$766.74,4701,366,7.79%,$2.09
09/04/2024,5,$337.27,7547,280,3.71%,$1.20
09/04/2024,6,$849.22,7734,375,4.85%,$2.26
10/04/2024,5,$235.40,7387,291,3.94%,$0.81
10/04/2024,6,$350.66,8891,221,2.49%,$1.59
11/04/2024,5,$128.52,9996,414,4.14%,$0.31
11/04/2024,6,$152.15,9862,234,2.37%,$0.65
12/04/2024,5,$414.73,3973,301,7.58%,$1.38
12/04/2024,6,$299.02,9545,61,0.64%,$4.90
13/04/2024,5,$377.30,2551,497,19.48%,$0.76
13/04/2024,6,$905.01,4975,64,1.29%,$14.14
14/04/2024,5,$149.34,1492,184,12.33%,$0.81
14/04/2024,6,$301.64,3806,456,11.98%,$0.66
15/04/2024,5,$525.24,9332,177,1.90%,$2.97
15/04/2024,6,$859.50,9024,348,3.86%,$2.47
16/04/2024,5,$992.23,2646,227,8.58%,$4.37
16/04/2024,6,$628.24,5880,292,4.97%,$2.15
17/04/2024,5,$548.90,9896,391,3.95%,$1.40
17/04/2024,6,$725.48,1453,402,27.67%,$1.80
18/04/2024,5,$202.63,2226,298,13.39%,$0.68
18/04/2024,6,$761.95,6434,460,7.15%,$1.66
19/04/2024,5,$457.44,7907,247,3.12%,$1.85
19/04/2024,6,$523.04,5626,462,8.21%,$1.13
20/04/2024,5,$445.46,4932,371,7.52%,$1.20
20/04/2024,6,$638.71,1175,412,35.06%,$1.55
21/04/2024,5,$613.98,2393,247,10.32%,$2.49
21/04/2024,6,$335.25,6508,381,5.85%,$0.88
22/04/2024,5,$826.47,1773,150,8.46%,$5.51
22/04/2024,6,$845.61,1157,422,36.47%,$2.00
23/04/2024,5,$136.77,6847,239,3.49%,$0.57
23/04/2024,6,$638.94,8495,130,1.53%,$4.91
24/04/2024,5,$600.80,9078,118,1.30%,$5.09
24/04/2024,6,$167.24,3988,118,2.96%,$1.42
25/04/2024,5,$500.81,5248,362,6.90%,$1.38
25/04/2024,6,$127.18,6936,425,6.13%,$0.30
26/04/2024,5,$526.86,2775,152,5.48%,$3.47
26/04/2024,6,$374.19,8144,492,6.04%,$0.76
27/04/2024,5,$519.65,1178,448,38.03%,$1.16
27/04/2024,6,$593.64,5837,495,8.48%,$1.20
28/04/2024,5,$991.57,9664,346,3.58%,$2.87
28/04/2024,6,$505.21,7464,333,4.46%,$1.52
29/04/2024,5,$138.36,8796,385,4.38%,$0.36
29/04/2024,6,$475.17,4267,411,9.63%,$1.16
30/04/2024,5,$483.35,8286,88,1.06%,$5.49
30/04/2024,6,$566.45,1128,99,8.78%,$5.72
01/05/2024,5,$494.94,2824,439,15.55%,$1.13
01/05/2024,6,$706.66,4581,232,5.06%,$3.05
02/05/2024,5,$933.86,9219,101,1.10%,$9.25
02/05/2024,6,$141.61,2982,160,5.37%,$0.89
03/05/2024,5,$463.28,8774,126,1.44%,$3.68
03/05/2024,6,$136.16,2454,337,13.73%,$0.40
04/05/2024,5,$151.26,7693,345,4.48%,$0.44
04/05/2024,6,$164.91,2393,434,18.14%,$0.38
05/05/2024,5,$489.10,3405,238,6.99%,$2.06
05/05/2024,6,$980.21,8908,155,1.74%,$6.32
06/05/2024,5,$153.32,5132,265,5.16%,$0.58
06/05/2024,6,$447.88,3458,105,3.04%,$4.27
07/05/2024,5,$303.75,9853,416,4.22%,$0.73
07/05/2024,6,$331.40,8550,149,1.74%,$2.22
08/05/2024,5,$623.79,6716,165,2.46%,$3.78
08/05/2024,6,$834.38,7670,119,1.55%,$7.01
09/05/2024,5,$469.21,6794,74,1.09%,$6.34
09/05/2024,6,$879.52,1271,201,15.81%,$4.38
10/05/2024,5,$866.43,1702,81,4.76%,$10.70
10/05/2024,6,$620.95,4766,117,2.45%,$5.31
11/05/2024,5,$266.02,7653,346,4.52%,$0.77
11/05/2024,6,$893.51,7239,77,1.06%,$11.60
12/05/2024,5,$267.64,2747,460,16.75%,$0.58
12/05/2024,6,$336.83,3873,457,11.80%,$0.74
13/05/2024,5,$215.07,4228,478,11.31%,$0.45
13/05/2024,6,$631.40,1691,397,23.48%,$1.59
14/05/2024,5,$277.13,6859,393,5.73%,$0.71
14/05/2024,6,$539.10,9812,241,2.46%,$2.24
15/05/2024,5,$735.72,2949,403,13.67%,$1.83
15/05/2024,6,$631.16,5298,456,8.61%,$1.38
16/05/2024,5,$642.32,1484,474,31.94%,$1.36
16/05/2024,6,$728.28,8706,232,2.66%,$3.14
17/05/2024,5,$171.00,1081,430,39.78%,$0.40
17/05/2024,6,$166.25,3985,63,1.58%,$2.64
18/05/2024,5,$951.18,7021,397,5.65%,$2.40
18/05/2024,6,$587.05,9291,497,5.35%,$1.18
19/05/2024,5,$744.76,1967,417,21.20%,$1.79
19/05/2024,6,$116.28,9876,462,4.68%,$0.25
20/05/2024,5,$367.43,2969,314,10.58%,$1.17
20/05/2024,6,$878.51,5828,271,4.65%,$3.24
21/05/2024,5,$261.02,9832,109,1.11%,$2.39
21/05/2024,6,$656.48,6120,352,5.75%,$1.87
22/05/2024,5,$327.13,1987,215,10.82%,$1.52
22/05/2024,6,$822.20,1869,457,24.45%,$1.80
23/05/2024,5,$619.60,2160,219,10.14%,$2.83
23/05/2024,6,$169.91,8120,485,5.97%,$0.35
24/05/2024,5,$598.58,9624,445,4.62%,$1.35
24/05/2024,6,$252.03,6688,168,2.51%,$1.50
25/05/2024,5,$645.60,8586,351,4.09%,$1.84
25/05/2024,6,$291.59,5113,364,7.12%,$0.80
26/05/2024,5,$519.28,5451,339,6.22%,$1.53
26/05/2024,6,$738.96,4271,231,5.41%,$3.20
27/05/2024,5,$176.98,3848,65,1.69%,$2.72
27/05/2024,6,$215.51,3213,416,12.95%,$0.52
28/05/2024,5,$888.47,4119,171,4.15%,$5.20
28/05/2024,6,$264.40,2753,285,10.35%,$0.93
29/05/2024,5,$728.57,2906,286,9.84%,$2.55
29/05/2024,6,$825.97,5811,61,1.05%,$13.54
30/05/2024,5,$861.79,9274,488,5.26%,$1.77
30/05/2024,6,$728.13,1112,414,37.23%,$1.76
31/05/2024,5,$802.10,7386,300,4.06%,$2.67
31/05/2024,6,$624.95,1734,341,19.67%,$1.83
01/06/2024,5,$327.84,1421,389,27.38%,$0.84
01/06/2024,6,$748.15,7710,117,1.52%,$6.39
02/06/2024,5,$591.53,4369,118,2.70%,$5.01
02/06/2024,6,$677.71,6747,405,6.00%,$1.67
03/06/2024,5,$296.27,9486,325,3.43%,$0.91
03/06/2024,6,$346.41,8612,120,1.39%,$2.89
04/06/2024,5,$523.85,9358,324,3.46%,$1.62
04/06/2024,6,$414.97,4865,397,8.16%,$1.05
05/06/2024,5,$221.16,2318,173,7.46%,$1.28
05/06/2024,6,$417.68,8606,262,3.04%,$1.59
06/06/2024,5,$525.22,4457,443,9.94%,$1.19
06/06/2024,6,$859.67,3444,275,7.98%,$3.13
07/06/2024,5,$887.70,8918,375,4.20%,$2.37
07/06/2024,6,$225.49,1797,180,10.02%,$1.25
08/06/2024,5,$126.69,3338,108,3.24%,$1.17
08/06/2024,6,$599.81,6717,130,1.94%,$4.61
09/06/2024,5,$635.32,4920,135,2.74%,$4.71
09/06/2024,6,$219.62,7490,63,0.84%,$3.49
10/06/2024,5,$696.12,7444,81,1.09%,$8.59
10/06/2024,6,$443.66,9959,449,4.51%,$0.99
11/06/2024,5,$251.77,5418,255,4.71%,$0.99
11/06/2024,6,$256.68,9976,298,2.99%,$0.86
12/06/2024,5,$267.59,3009,328,10.90%,$0.82
12/06/2024,6,$263.57,4909,373,7.60%,$0.71
13/06/2024,5,$428.38,4347,120,2.76%,$3.57
13/06/2024,6,$448.82,1400,459,32.79%,$0.98
14/06/2024,5,$454.81,8337,414,4.97%,$1.10
14/06/2024,6,$572.89,8794,412,4.69%,$1.39
15/06/2024,5,$455.17,4127,297,7.20%,$1.53
15/06/2024,6,$113.33,8390,418,4.98%,$0.27
16/06/2024,5,$473.86,2027,240,11.84%,$1.97
16/06/2024,6,$884.38,1511,305,20.19%,$2.90
17/06/2024,5,$527.05,8752,495,5.66%,$1.06
17/06/2024,6,$410.27,3126,458,14.65%,$0.90
18/06/2024,5,$737.23,4055,425,10.48%,$1.73
18/06/2024,6,$230.44,7748,260,3.36%,$0.89
19/06/2024,5,$489.60,9175,95,1.04%,$5.15
19/06/2024,6,$400.75,3412,145,4.25%,$2.76
20/06/2024,5,$289.55,5448,458,8.41%,$0.63
20/06/2024,6,$665.76,1958,158,8.07%,$4.21
21/06/2024,5,$459.29,2010,222,11.04%,$2.07
21/06/2024,6,$663.18,1501,250,16.66%,$2.65
22/06/2024,5,$134.93,3953,143,3.62%,$0.94
22/06/2024,6,$191.11,5081,72,1.42%,$2.65
23/06/2024,5,$612.30,5797,236,4.07%,$2.59
23/06/2024,6,$314.63,1118,168,15.03%,$1.87
24/06/2024,5,$404.53,7814,186,2.38%,$2.17
24/06/2024,6,$879.05,8699,194,2.23%,$4.53
25/06/2024,5,$469.97,1266,236,18.64%,$1.99
25/06/2024,6,$778.44,8847,419,4.74%,$1.86
26/06/2024,5,$683.92,1442,184,12.76%,$3.72
26/06/2024,6,$250.96,9668,91,0.94%,$2.76
27/06/2024,5,$822.99,3726,291,7.81%,$2.83
27/06/2024,6,$884.32,8963,149,1.66%,$5.94
28/06/2024,5,$213.22,8154,450,5.52%,$0.47
28/06/2024,6,$485.75,3869,454,11.73%,$1.07
29/06/2024,5,$183.81,7198,144,2.00%,$1.28
29/06/2024,6,$337.32,9377,211,2.25%,$1.60
30/06/2024,5,$567.11,4461,160,3.59%,$3.54
30/06/2024,6,$578.27,5246,309,5.89%,$1.87
