user_id,visit_number,date,page_visited,time_spent,conversion_step
962,1,02/01/2024,Pricing,236,Signup
266,4,02/01/2024,Pricing,294,None
698,4,02/01/2024,Signup,271,None
640,3,02/01/2024,Homepage,179,None
545,4,02/01/2024,Homepage,288,None
544,1,02/01/2024,Features,238,None
715,3,03/01/2024,Signup,184,Purchase
245,4,03/01/2024,Features,101,Signup
152,2,03/01/2024,Pricing,270,Purchase
676,4,03/01/2024,Homepage,257,None
511,4,03/01/2024,Pricing,162,None
460,4,03/01/2024,Features,228,None
883,4,03/01/2024,Pricing,200,None
184,5,03/01/2024,Pricing,281,Purchase
29,1,03/01/2024,Homepage,234,None
803,3,03/01/2024,Homepage,234,None
129,1,03/01/2024,Homepage,92,None
129,4,03/01/2024,Homepage,202,None
933,2,03/01/2024,Signup,257,None
54,3,03/01/2024,Pricing,244,None
902,1,03/01/2024,Features,85,None
551,2,03/01/2024,Signup,53,None
489,4,03/01/2024,Pricing,105,None
757,2,03/01/2024,Features,127,None
274,1,03/01/2024,Homepage,282,Purchase
336,3,03/01/2024,Homepage,264,None
389,1,03/01/2024,Signup,44,None
618,2,03/01/2024,Homepage,138,Purchase
43,2,03/01/2024,Features,150,Signup
443,1,03/01/2024,Pricing,189,Signup
544,1,03/01/2024,Signup,122,Signup
889,1,03/01/2024,Signup,268,Purchase
258,2,03/01/2024,Pricing,144,Purchase
322,5,04/01/2024,Homepage,166,None
1000,1,04/01/2024,Signup,154,None
938,4,04/01/2024,Homepage,140,None
58,2,04/01/2024,Pricing,33,Purchase
292,5,04/01/2024,Features,75,Purchase
871,3,04/01/2024,Features,150,Purchase
120,5,04/01/2024,Features,243,None
780,3,04/01/2024,Features,285,None
431,5,04/01/2024,Pricing,197,None
83,2,04/01/2024,Homepage,159,Signup
92,4,04/01/2024,Signup,268,Signup
897,2,04/01/2024,Features,242,None
399,5,04/01/2024,Homepage,119,None
612,5,04/01/2024,Homepage,286,None
566,3,04/01/2024,Homepage,291,None
909,1,04/01/2024,Features,231,Signup
634,2,04/01/2024,Pricing,147,None
939,3,04/01/2024,Pricing,114,Signup
85,5,04/01/2024,Signup,117,None
204,5,04/01/2024,Signup,267,Signup
325,1,04/01/2024,Features,79,Signup
775,2,04/01/2024,Homepage,168,None
965,5,04/01/2024,Homepage,185,None
48,4,04/01/2024,Pricing,72,None
640,1,04/01/2024,Features,74,None
132,1,04/01/2024,Signup,283,None
973,3,04/01/2024,Homepage,283,None
869,3,04/01/2024,Signup,68,None
181,3,05/01/2024,Homepage,170,None
847,5,05/01/2024,Pricing,168,Signup
144,1,05/01/2024,Features,127,Signup
661,2,05/01/2024,Homepage,77,None
228,4,05/01/2024,Signup,188,None
955,5,05/01/2024,Features,52,None
792,5,05/01/2024,Pricing,209,None
720,2,05/01/2024,Signup,210,None
910,5,05/01/2024,Pricing,149,None
374,2,05/01/2024,Features,42,Signup
854,2,05/01/2024,Features,58,None
561,1,05/01/2024,Pricing,267,None
306,5,05/01/2024,Pricing,112,None
582,5,05/01/2024,Pricing,209,None
170,4,05/01/2024,Signup,250,None
676,2,05/01/2024,Signup,201,Signup
449,4,05/01/2024,Pricing,72,None
96,4,05/01/2024,Pricing,153,None
198,4,05/01/2024,Homepage,54,None
607,3,05/01/2024,Signup,290,None
257,1,05/01/2024,Homepage,90,None
882,2,05/01/2024,Signup,212,None
691,5,05/01/2024,Homepage,80,None
293,3,05/01/2024,Signup,173,None
931,3,05/01/2024,Features,133,None
817,3,05/01/2024,Signup,206,None
862,5,05/01/2024,Pricing,170,Signup
388,3,05/01/2024,Features,100,None
611,3,06/01/2024,Homepage,82,None
555,5,06/01/2024,Features,247,None
974,1,06/01/2024,Features,102,Signup
369,3,06/01/2024,Pricing,51,Signup
1000,2,06/01/2024,Pricing,98,Signup
918,1,06/01/2024,Signup,183,None
202,5,06/01/2024,Homepage,230,None
384,1,06/01/2024,Pricing,41,None
513,1,06/01/2024,Signup,117,None
907,4,06/01/2024,Signup,121,Purchase
371,5,06/01/2024,Features,50,Signup
556,1,06/01/2024,Homepage,55,None
955,5,06/01/2024,Features,167,None
384,3,06/01/2024,Pricing,226,None
24,5,06/01/2024,Pricing,127,None
700,1,06/01/2024,Signup,274,None
131,5,06/01/2024,Features,286,Signup
378,4,06/01/2024,Pricing,235,None
99,4,06/01/2024,Homepage,236,Signup
575,4,06/01/2024,Pricing,233,None
932,5,06/01/2024,Homepage,35,Purchase
735,1,06/01/2024,Features,54,None
124,3,06/01/2024,Homepage,281,Signup
964,2,06/01/2024,Homepage,299,None
595,3,06/01/2024,Signup,264,None
943,4,06/01/2024,Homepage,224,None
740,1,06/01/2024,Signup,223,None
149,5,07/01/2024,Homepage,267,None
210,5,07/01/2024,Pricing,268,None
563,1,07/01/2024,Pricing,69,None
412,1,07/01/2024,Homepage,95,Purchase
783,4,07/01/2024,Signup,199,None
42,4,07/01/2024,Homepage,109,None
59,1,07/01/2024,Features,165,Purchase
706,4,07/01/2024,Pricing,289,Signup
37,2,07/01/2024,Pricing,151,None
779,5,07/01/2024,Pricing,194,None
87,4,07/01/2024,Features,62,None
44,4,07/01/2024,Pricing,108,None
873,4,07/01/2024,Features,195,None
12,1,07/01/2024,Homepage,169,Signup
771,2,07/01/2024,Signup,258,None
308,4,07/01/2024,Homepage,277,None
81,2,07/01/2024,Features,41,None
33,2,07/01/2024,Signup,63,None
183,1,07/01/2024,Homepage,203,None
129,4,07/01/2024,Pricing,50,None
807,2,07/01/2024,Homepage,175,None
276,4,07/01/2024,Homepage,37,None
175,4,07/01/2024,Pricing,99,None
555,3,07/01/2024,Homepage,205,None
372,5,07/01/2024,Features,140,Signup
185,4,07/01/2024,Pricing,201,None
445,1,07/01/2024,Signup,66,None
489,5,07/01/2024,Homepage,184,None
590,1,08/01/2024,Pricing,35,Signup
287,1,08/01/2024,Pricing,193,None
281,1,08/01/2024,Features,147,None
638,3,08/01/2024,Features,240,None
771,5,08/01/2024,Signup,182,None
516,1,08/01/2024,Homepage,50,None
95,3,08/01/2024,Pricing,123,None
227,5,08/01/2024,Signup,147,None
876,1,08/01/2024,Homepage,214,Signup
270,1,08/01/2024,Pricing,94,Signup
881,4,08/01/2024,Signup,205,None
297,5,08/01/2024,Features,104,None
329,2,08/01/2024,Homepage,147,None
20,1,08/01/2024,Homepage,276,None
608,1,08/01/2024,Pricing,244,None
841,1,08/01/2024,Features,208,None
411,4,08/01/2024,Features,293,None
451,4,08/01/2024,Features,230,None
249,4,08/01/2024,Features,267,None
181,5,08/01/2024,Features,62,None
324,3,08/01/2024,Signup,63,Purchase
830,5,08/01/2024,Pricing,244,Signup
783,3,08/01/2024,Pricing,55,None
865,2,08/01/2024,Features,118,None
261,5,08/01/2024,Signup,156,None
964,1,08/01/2024,Homepage,113,Signup
750,2,08/01/2024,Signup,54,None
140,1,09/01/2024,Features,157,None
599,3,09/01/2024,Pricing,61,None
462,4,09/01/2024,Homepage,220,Signup
890,3,09/01/2024,Pricing,135,None
622,5,09/01/2024,Features,148,None
844,2,09/01/2024,Pricing,206,Purchase
697,2,09/01/2024,Features,138,None
529,2,09/01/2024,Signup,295,None
153,3,09/01/2024,Features,157,None
926,5,09/01/2024,Pricing,83,Purchase
150,4,09/01/2024,Pricing,203,None
111,2,09/01/2024,Features,277,Purchase
26,4,09/01/2024,Features,65,Purchase
465,2,09/01/2024,Signup,99,None
957,2,09/01/2024,Signup,257,None
890,3,09/01/2024,Features,99,Purchase
887,1,09/01/2024,Signup,45,None
118,2,09/01/2024,Signup,287,Signup
446,1,09/01/2024,Pricing,284,None
596,3,09/01/2024,Features,212,None
674,2,09/01/2024,Homepage,229,Purchase
873,5,09/01/2024,Homepage,76,None
929,2,09/01/2024,Signup,120,None
229,2,09/01/2024,Pricing,214,None
508,5,09/01/2024,Signup,120,Purchase
764,5,09/01/2024,Features,195,None
122,2,09/01/2024,Pricing,183,None
327,4,09/01/2024,Homepage,254,None
470,3,10/01/2024,Homepage,162,Signup
288,4,10/01/2024,Homepage,94,None
526,2,10/01/2024,Pricing,54,Signup
840,1,10/01/2024,Pricing,36,None
697,5,10/01/2024,Pricing,162,Signup
153,5,10/01/2024,Signup,137,None
592,1,10/01/2024,Pricing,145,Signup
42,3,10/01/2024,Signup,207,Signup
275,3,10/01/2024,Signup,127,Signup
553,2,10/01/2024,Features,97,Purchase
439,2,10/01/2024,Features,172,None
208,5,10/01/2024,Signup,136,None
780,1,10/01/2024,Signup,110,None
167,1,10/01/2024,Homepage,33,None
112,4,10/01/2024,Homepage,276,None
350,3,10/01/2024,Features,99,None
130,3,10/01/2024,Signup,34,None
736,2,10/01/2024,Homepage,145,None
887,2,10/01/2024,Features,58,Signup
813,3,10/01/2024,Signup,31,None
217,4,10/01/2024,Pricing,260,None
382,2,10/01/2024,Features,134,Purchase
25,2,10/01/2024,Pricing,258,None
68,4,10/01/2024,Homepage,218,None
979,5,10/01/2024,Features,100,Purchase
772,3,10/01/2024,Pricing,117,None
235,1,10/01/2024,Homepage,274,None
717,1,10/01/2024,Pricing,122,Signup
999,1,11/01/2024,Signup,137,Purchase
292,1,11/01/2024,Signup,49,Signup
727,1,11/01/2024,Homepage,133,None
702,5,11/01/2024,Features,276,None
710,3,11/01/2024,Signup,120,None
728,2,11/01/2024,Pricing,268,None
556,1,11/01/2024,Homepage,108,Signup
33,4,11/01/2024,Homepage,273,None
12,1,11/01/2024,Homepage,149,None
617,5,11/01/2024,Features,170,Purchase
213,3,11/01/2024,Features,234,None
139,4,11/01/2024,Homepage,186,Signup
695,1,11/01/2024,Features,76,Signup
422,5,11/01/2024,Signup,192,None
638,1,11/01/2024,Pricing,233,None
669,1,11/01/2024,Signup,69,Signup
624,4,11/01/2024,Homepage,115,None
489,5,11/01/2024,Homepage,269,None
771,3,11/01/2024,Features,87,Purchase
540,5,11/01/2024,Pricing,171,None
980,3,11/01/2024,Features,194,None
218,3,11/01/2024,Signup,55,None
664,3,11/01/2024,Homepage,36,Signup
822,3,11/01/2024,Pricing,125,None
308,5,11/01/2024,Pricing,247,Signup
175,4,11/01/2024,Pricing,141,Purchase
149,3,11/01/2024,Features,62,None
950,2,12/01/2024,Signup,191,None
542,3,12/01/2024,Features,107,None
580,2,12/01/2024,Homepage,232,None
548,1,12/01/2024,Signup,54,Purchase
808,3,12/01/2024,Pricing,192,None
394,2,12/01/2024,Features,261,None
74,3,12/01/2024,Homepage,213,None
298,5,12/01/2024,Homepage,282,Signup
920,4,12/01/2024,Homepage,274,None
900,1,12/01/2024,Homepage,268,None
815,4,12/01/2024,Pricing,258,None
731,4,12/01/2024,Signup,217,None
947,5,12/01/2024,Homepage,158,None
877,2,12/01/2024,Features,174,None
772,1,12/01/2024,Pricing,100,None
800,4,12/01/2024,Pricing,54,None
778,3,12/01/2024,Pricing,129,None
395,2,12/01/2024,Pricing,241,None
540,1,12/01/2024,Signup,128,Purchase
430,4,12/01/2024,Homepage,101,Signup
200,4,12/01/2024,Signup,160,Signup
424,2,12/01/2024,Homepage,130,None
62,3,12/01/2024,Pricing,102,None
342,4,12/01/2024,Signup,148,None
866,5,12/01/2024,Homepage,238,None
45,5,12/01/2024,Pricing,192,Signup
803,2,12/01/2024,Pricing,296,None
931,1,12/01/2024,Homepage,113,None
89,2,13/01/2024,Signup,188,None
34,2,13/01/2024,Homepage,101,None
646,1,13/01/2024,Features,33,Signup
233,1,13/01/2024,Homepage,230,None
768,1,13/01/2024,Features,33,None
37,3,13/01/2024,Features,152,None
769,4,13/01/2024,Pricing,54,Signup
460,2,13/01/2024,Signup,221,Signup
291,5,13/01/2024,Homepage,153,Signup
198,1,13/01/2024,Signup,60,None
895,1,13/01/2024,Features,68,None
950,1,13/01/2024,Homepage,282,None
255,4,13/01/2024,Features,193,None
81,5,13/01/2024,Signup,86,None
447,2,13/01/2024,Signup,187,Purchase
137,4,13/01/2024,Signup,174,Signup
190,3,13/01/2024,Features,273,None
130,5,13/01/2024,Features,72,None
210,5,13/01/2024,Homepage,189,Purchase
369,3,13/01/2024,Pricing,96,None
292,2,13/01/2024,Signup,224,Purchase
377,5,13/01/2024,Features,134,Signup
348,1,13/01/2024,Signup,206,None
169,2,13/01/2024,Features,177,None
885,4,13/01/2024,Homepage,242,None
805,3,13/01/2024,Signup,265,None
177,1,13/01/2024,Homepage,58,None
538,1,13/01/2024,Pricing,207,None
324,1,14/01/2024,Signup,210,None
872,4,14/01/2024,Pricing,109,None
509,1,14/01/2024,Features,57,None
804,5,14/01/2024,Signup,104,Signup
115,1,14/01/2024,Features,109,None
799,2,14/01/2024,Features,61,None
30,5,14/01/2024,Signup,201,Signup
754,1,14/01/2024,Homepage,99,None
290,4,14/01/2024,Signup,288,None
147,1,14/01/2024,Homepage,151,None
274,4,14/01/2024,Features,287,None
222,5,14/01/2024,Homepage,133,Signup
341,5,14/01/2024,Features,290,None
510,5,14/01/2024,Features,64,Signup
515,5,14/01/2024,Features,209,Signup
70,4,14/01/2024,Pricing,234,None
358,2,14/01/2024,Pricing,255,Signup
909,4,14/01/2024,Signup,295,None
557,4,14/01/2024,Signup,259,None
886,1,14/01/2024,Signup,143,None
766,1,14/01/2024,Features,125,None
323,4,14/01/2024,Pricing,98,None
624,3,14/01/2024,Signup,35,None
92,2,14/01/2024,Signup,121,None
342,5,14/01/2024,Pricing,132,None
424,5,14/01/2024,Homepage,239,None
552,5,14/01/2024,Features,238,None
972,1,15/01/2024,Pricing,267,None
663,1,15/01/2024,Homepage,71,None
415,2,15/01/2024,Signup,206,None
658,2,15/01/2024,Features,185,Purchase
711,4,15/01/2024,Signup,96,None
968,1,15/01/2024,Homepage,121,Signup
275,5,15/01/2024,Signup,205,None
861,4,15/01/2024,Features,153,None
44,3,15/01/2024,Signup,99,Signup
84,3,15/01/2024,Signup,268,None
434,2,15/01/2024,Features,282,None
810,1,15/01/2024,Pricing,153,None
94,1,15/01/2024,Signup,208,Purchase
175,3,15/01/2024,Features,257,None
406,2,15/01/2024,Signup,200,None
202,2,15/01/2024,Signup,158,Signup
858,1,15/01/2024,Pricing,293,None
499,1,15/01/2024,Pricing,120,None
481,3,15/01/2024,Homepage,174,Signup
988,5,15/01/2024,Homepage,214,None
330,2,15/01/2024,Signup,126,None
541,1,15/01/2024,Features,45,Signup
210,2,15/01/2024,Homepage,215,None
618,5,15/01/2024,Signup,298,None
955,3,15/01/2024,Features,255,None
897,5,15/01/2024,Homepage,166,None
983,3,15/01/2024,Features,186,None
576,2,15/01/2024,Homepage,169,None
17,4,16/01/2024,Features,190,None
107,2,16/01/2024,Signup,107,None
165,4,16/01/2024,Homepage,107,None
607,2,16/01/2024,Signup,36,None
537,5,16/01/2024,Features,240,None
629,3,16/01/2024,Signup,234,Purchase
192,2,16/01/2024,Features,179,None
196,1,16/01/2024,Homepage,50,Signup
308,3,16/01/2024,Features,248,None
137,5,16/01/2024,Signup,175,None
953,2,16/01/2024,Homepage,99,None
860,3,16/01/2024,Homepage,62,None
94,1,16/01/2024,Homepage,76,None
892,3,16/01/2024,Pricing,56,Signup
751,2,16/01/2024,Homepage,170,Purchase
88,1,16/01/2024,Pricing,289,None
161,2,16/01/2024,Signup,236,None
148,4,16/01/2024,Features,62,None
585,3,16/01/2024,Features,42,None
456,1,16/01/2024,Signup,63,None
88,2,16/01/2024,Pricing,171,None
14,4,16/01/2024,Pricing,154,Purchase
315,2,16/01/2024,Features,106,Purchase
594,2,16/01/2024,Signup,138,None
121,3,16/01/2024,Pricing,221,None
885,3,16/01/2024,Homepage,117,None
952,4,16/01/2024,Signup,122,None
833,3,17/01/2024,Signup,247,Signup
716,1,17/01/2024,Homepage,32,None
733,4,17/01/2024,Signup,248,None
933,3,17/01/2024,Homepage,278,None
282,5,17/01/2024,Pricing,198,None
801,1,17/01/2024,Pricing,223,None
427,2,17/01/2024,Homepage,131,Purchase
783,1,17/01/2024,Homepage,213,Signup
471,1,17/01/2024,Signup,116,None
285,1,17/01/2024,Features,237,Purchase
277,5,17/01/2024,Pricing,229,Signup
979,1,17/01/2024,Pricing,260,Purchase
325,5,17/01/2024,Homepage,217,None
535,5,17/01/2024,Pricing,194,None
228,3,17/01/2024,Homepage,117,Purchase
891,5,17/01/2024,Homepage,53,Signup
596,5,17/01/2024,Homepage,225,Purchase
648,4,17/01/2024,Pricing,178,None
969,5,17/01/2024,Signup,278,None
574,1,17/01/2024,Pricing,144,Signup
654,2,17/01/2024,Signup,144,None
518,5,17/01/2024,Signup,57,None
257,5,17/01/2024,Pricing,153,Signup
137,3,17/01/2024,Pricing,95,None
208,3,17/01/2024,Pricing,57,None
464,1,17/01/2024,Signup,253,Signup
950,4,17/01/2024,Homepage,82,None
140,5,17/01/2024,Homepage,112,None
5,2,18/01/2024,Signup,102,None
424,5,18/01/2024,Pricing,119,None
349,4,18/01/2024,Pricing,128,Signup
942,4,18/01/2024,Features,30,Purchase
283,2,18/01/2024,Signup,62,None
587,1,18/01/2024,Features,210,None
821,5,18/01/2024,Signup,225,Purchase
434,5,18/01/2024,Features,283,None
220,3,18/01/2024,Features,241,None
820,1,18/01/2024,Pricing,148,Signup
740,2,18/01/2024,Signup,155,Purchase
874,5,18/01/2024,Pricing,202,None
787,4,18/01/2024,Features,270,None
374,1,18/01/2024,Homepage,261,None
291,4,18/01/2024,Pricing,44,None
564,4,18/01/2024,Homepage,130,Signup
671,5,18/01/2024,Features,165,None
438,2,18/01/2024,Pricing,119,None
827,2,18/01/2024,Pricing,224,None
940,2,18/01/2024,Pricing,278,None
824,5,18/01/2024,Pricing,274,None
509,3,18/01/2024,Homepage,94,Signup
787,2,18/01/2024,Homepage,44,None
942,4,18/01/2024,Signup,275,None
856,4,18/01/2024,Features,39,Purchase
450,3,18/01/2024,Signup,286,None
327,1,18/01/2024,Signup,200,None
491,5,18/01/2024,Pricing,149,Signup
54,5,19/01/2024,Homepage,219,Purchase
817,4,19/01/2024,Features,61,None
95,2,19/01/2024,Signup,30,None
60,2,19/01/2024,Homepage,262,Signup
337,3,19/01/2024,Signup,181,Purchase
667,1,19/01/2024,Homepage,264,None
637,2,19/01/2024,Signup,67,None
164,2,19/01/2024,Pricing,186,None
571,4,19/01/2024,Features,238,None
946,2,19/01/2024,Pricing,208,None
107,5,19/01/2024,Homepage,122,None
202,2,19/01/2024,Homepage,292,None
301,2,19/01/2024,Signup,230,None
782,1,19/01/2024,Features,261,None
890,5,19/01/2024,Homepage,66,None
839,3,19/01/2024,Signup,217,None
551,5,19/01/2024,Pricing,170,None
680,3,19/01/2024,Signup,109,Signup
649,1,19/01/2024,Homepage,183,None
14,1,19/01/2024,Pricing,299,None
904,4,19/01/2024,Pricing,207,Purchase
721,1,19/01/2024,Features,100,None
535,2,19/01/2024,Features,131,Signup
505,5,19/01/2024,Signup,49,None
848,3,19/01/2024,Features,58,None
986,5,19/01/2024,Pricing,153,None
777,5,19/01/2024,Pricing,70,None
740,5,20/01/2024,Signup,126,None
775,5,20/01/2024,Homepage,279,None
210,5,20/01/2024,Homepage,46,Purchase
456,1,20/01/2024,Pricing,240,Purchase
469,5,20/01/2024,Pricing,181,None
474,5,20/01/2024,Pricing,178,None
963,3,20/01/2024,Signup,285,None
573,5,20/01/2024,Pricing,287,None
401,5,20/01/2024,Homepage,273,None
57,5,20/01/2024,Pricing,201,Purchase
883,2,20/01/2024,Signup,187,None
750,2,20/01/2024,Homepage,139,None
664,2,20/01/2024,Homepage,128,None
281,5,20/01/2024,Features,233,Purchase
5,1,20/01/2024,Homepage,126,Signup
613,2,20/01/2024,Homepage,144,None
306,4,20/01/2024,Homepage,111,None
344,2,20/01/2024,Pricing,230,None
543,3,20/01/2024,Homepage,248,Signup
567,1,20/01/2024,Homepage,88,Purchase
154,3,20/01/2024,Features,232,Signup
789,3,20/01/2024,Pricing,120,None
354,2,20/01/2024,Pricing,45,None
358,3,20/01/2024,Signup,160,None
698,3,20/01/2024,Signup,184,None
408,1,20/01/2024,Features,174,None
412,2,20/01/2024,Features,163,None
30,1,20/01/2024,Signup,207,Signup
930,5,21/01/2024,Signup,65,None
372,2,21/01/2024,Homepage,213,None
822,3,21/01/2024,Signup,49,None
632,2,21/01/2024,Features,36,None
948,2,21/01/2024,Features,143,None
855,5,21/01/2024,Homepage,122,None
503,1,21/01/2024,Features,295,None
8,2,21/01/2024,Pricing,251,None
618,2,21/01/2024,Features,124,None
138,4,21/01/2024,Homepage,152,None
695,2,21/01/2024,Features,207,Signup
897,1,21/01/2024,Pricing,94,None
852,4,21/01/2024,Pricing,211,None
377,3,21/01/2024,Features,187,None
933,3,21/01/2024,Homepage,298,Signup
722,2,21/01/2024,Homepage,118,Purchase
149,1,21/01/2024,Pricing,258,Purchase
886,2,21/01/2024,Signup,204,Signup
260,3,21/01/2024,Pricing,252,None
127,2,21/01/2024,Signup,174,None
811,2,21/01/2024,Signup,152,None
578,3,21/01/2024,Features,150,Signup
533,3,21/01/2024,Features,50,None
805,4,21/01/2024,Homepage,126,None
325,4,21/01/2024,Pricing,45,None
977,1,21/01/2024,Signup,138,Signup
113,1,21/01/2024,Homepage,298,None
944,3,22/01/2024,Homepage,144,Purchase
651,1,22/01/2024,Signup,109,None
238,1,22/01/2024,Features,169,Signup
361,4,22/01/2024,Signup,187,None
991,3,22/01/2024,Pricing,177,None
860,4,22/01/2024,Features,133,None
556,2,22/01/2024,Signup,40,None
64,3,22/01/2024,Features,90,None
928,5,22/01/2024,Signup,272,Signup
917,1,22/01/2024,Homepage,255,None
455,1,22/01/2024,Homepage,261,None
266,3,22/01/2024,Pricing,222,Signup
445,5,22/01/2024,Signup,257,None
604,3,22/01/2024,Homepage,243,None
624,1,22/01/2024,Homepage,136,Signup
420,1,22/01/2024,Features,68,Signup
340,3,22/01/2024,Features,153,None
845,2,22/01/2024,Pricing,185,None
275,4,22/01/2024,Homepage,254,None
370,3,22/01/2024,Homepage,123,None
843,2,22/01/2024,Homepage,203,None
227,5,22/01/2024,Signup,145,None
226,1,22/01/2024,Features,43,None
940,1,22/01/2024,Signup,245,None
644,3,22/01/2024,Features,183,None
909,5,22/01/2024,Features,163,Signup
229,3,22/01/2024,Features,166,Purchase
827,4,22/01/2024,Homepage,48,None
898,3,23/01/2024,Pricing,231,None
370,1,23/01/2024,Signup,68,None
129,1,23/01/2024,Pricing,91,None
808,2,23/01/2024,Signup,201,Purchase
25,4,23/01/2024,Signup,50,None
699,2,23/01/2024,Homepage,273,None
293,4,23/01/2024,Homepage,65,None
356,1,23/01/2024,Homepage,72,None
838,3,23/01/2024,Features,60,Signup
135,1,23/01/2024,Features,257,None
4,2,23/01/2024,Pricing,243,None
227,2,23/01/2024,Homepage,141,None
890,3,23/01/2024,Features,281,None
681,5,23/01/2024,Signup,81,None
445,1,23/01/2024,Signup,83,None
418,2,23/01/2024,Signup,254,None
285,5,23/01/2024,Pricing,146,None
837,5,23/01/2024,Pricing,87,Signup
27,1,23/01/2024,Signup,178,Signup
737,2,23/01/2024,Features,239,None
249,5,23/01/2024,Pricing,216,None
366,2,23/01/2024,Homepage,147,Signup
948,5,23/01/2024,Signup,273,None
202,1,23/01/2024,Features,109,None
438,1,23/01/2024,Pricing,226,None
198,2,23/01/2024,Signup,166,None
930,1,23/01/2024,Signup,83,None
648,4,23/01/2024,Features,160,None
638,1,24/01/2024,Pricing,195,None
607,3,24/01/2024,Homepage,76,None
73,1,24/01/2024,Homepage,202,None
247,2,24/01/2024,Pricing,80,None
853,5,24/01/2024,Signup,195,None
136,4,24/01/2024,Pricing,221,Signup
708,2,24/01/2024,Homepage,244,None
214,2,24/01/2024,Pricing,244,None
476,5,24/01/2024,Signup,211,None
621,5,24/01/2024,Signup,185,None
324,3,24/01/2024,Features,161,None
103,2,24/01/2024,Signup,168,None
853,4,24/01/2024,Features,292,Signup
328,3,24/01/2024,Features,69,None
596,3,24/01/2024,Pricing,83,None
224,4,24/01/2024,Homepage,145,None
257,5,24/01/2024,Features,173,None
646,5,24/01/2024,Signup,110,None
348,2,24/01/2024,Pricing,237,None
108,3,24/01/2024,Homepage,158,None
927,4,24/01/2024,Features,30,None
970,4,24/01/2024,Signup,169,None
980,4,24/01/2024,Signup,217,None
520,3,24/01/2024,Signup,47,None
150,1,24/01/2024,Pricing,252,Signup
998,1,24/01/2024,Features,202,None
477,2,24/01/2024,Signup,232,None
393,3,25/01/2024,Features,167,Signup
684,3,25/01/2024,Signup,267,None
559,1,25/01/2024,Homepage,154,Signup
1,5,25/01/2024,Pricing,258,None
361,1,25/01/2024,Signup,183,None
692,3,25/01/2024,Signup,241,None
551,4,25/01/2024,Features,125,None
90,3,25/01/2024,Homepage,116,None
75,2,25/01/2024,Signup,68,Purchase
500,1,25/01/2024,Homepage,59,Purchase
739,2,25/01/2024,Signup,80,Signup
636,1,25/01/2024,Features,141,None
344,1,25/01/2024,Features,188,Signup
97,2,25/01/2024,Signup,135,None
852,2,25/01/2024,Pricing,44,None
283,4,25/01/2024,Signup,67,None
719,2,25/01/2024,Features,162,None
33,5,25/01/2024,Homepage,135,None
116,3,25/01/2024,Homepage,89,Purchase
455,4,25/01/2024,Pricing,50,None
866,1,25/01/2024,Features,181,None
429,5,25/01/2024,Signup,52,None
828,2,25/01/2024,Signup,36,Purchase
826,2,25/01/2024,Signup,54,None
691,5,25/01/2024,Features,187,None
174,3,25/01/2024,Signup,163,Signup
746,5,25/01/2024,Features,139,None
133,1,25/01/2024,Homepage,30,Signup
442,5,26/01/2024,Features,216,None
94,4,26/01/2024,Homepage,101,None
348,5,26/01/2024,Features,287,None
402,5,26/01/2024,Signup,59,None
420,1,26/01/2024,Features,45,None
707,1,26/01/2024,Signup,73,Signup
405,3,26/01/2024,Signup,89,None
942,1,26/01/2024,Homepage,42,Signup
