date,source_id,source_type,source_name,sessions,users,pageviews,bounce_rate,avg_session_duration,conversions,form_fills,page_engagement,events,Coversion rate,Form fill rate,event conversion rate,Page engagement rate
06/01/2024,5,Paid,Google Ads,186,176,369,58.14%,103.591488,9,4,7,18,4.84%,2.15%,9.68%,1.90%
06/01/2024,6,Paid,LinkedIn Ads,110,92,209,49.69%,231.734678,13,2,24,2,11.82%,1.82%,1.82%,11.48%
07/01/2024,1,Owned,Blog,407,360,492,43.89%,95.5538066,8,2,10,1,1.97%,0.49%,0.25%,2.03%
07/01/2024,2,Owned,Email,389,288,722,37.59%,182.716556,11,2,21,5,2.83%,0.51%,1.29%,2.91%
07/01/2024,3,Earned,Social Media,374,325,551,61.55%,158.729379,12,5,7,10,3.21%,1.34%,2.67%,1.27%
07/01/2024,4,Earned,Referrals,494,380,645,32.14%,234.142647,3,2,44,4,0.61%,0.40%,0.81%,6.82%
07/01/2024,5,Paid,Google Ads,446,430,624,57.10%,254.501782,5,4,6,7,1.12%,0.90%,1.57%,0.96%
07/01/2024,6,Paid,LinkedIn Ads,53,50,94,40.81%,91.5558718,1,9,46,10,1.89%,16.98%,18.87%,48.94%
08/01/2024,1,Owned,Blog,487,407,850,57.83%,128.044523,8,4,22,13,1.64%,0.82%,2.67%,2.59%
08/01/2024,2,Owned,Email,373,267,655,61.15%,246.577815,12,4,8,6,3.22%,1.07%,1.61%,1.22%
08/01/2024,3,Earned,Social Media,442,327,805,67.01%,231.6429,3,8,33,15,0.68%,1.81%,3.39%,4.10%
08/01/2024,4,Earned,Referrals,82,81,140,31.41%,163.296585,10,5,30,18,12.20%,6.10%,21.95%,21.43%
08/01/2024,5,Paid,Google Ads,469,404,684,35.88%,98.3688161,5,2,14,14,1.07%,0.43%,2.99%,2.05%
08/01/2024,6,Paid,LinkedIn Ads,393,284,723,65.09%,82.4302695,13,3,27,7,3.31%,0.76%,1.78%,3.73%
09/01/2024,1,Owned,Blog,352,326,601,39.60%,98.5293174,12,8,31,7,3.41%,2.27%,1.99%,5.16%
09/01/2024,2,Owned,Email,223,195,420,48.29%,288.449874,8,2,42,3,3.59%,0.90%,1.35%,10.00%
09/01/2024,3,Earned,Social Media,164,154,217,55.16%,155.624222,19,3,34,13,11.59%,1.83%,7.93%,15.67%
09/01/2024,4,Earned,Referrals,274,194,539,44.21%,145.609654,2,1,6,3,0.73%,0.36%,1.09%,1.11%
09/01/2024,5,Paid,Google Ads,53,38,67,32.24%,80.7677976,7,4,7,3,13.21%,7.55%,5.66%,10.45%
09/01/2024,6,Paid,LinkedIn Ads,142,121,244,51.78%,67.791671,14,6,32,18,9.86%,4.23%,12.68%,13.11%
10/01/2024,1,Owned,Blog,85,62,144,68.97%,297.6828,6,7,17,15,7.06%,8.24%,17.65%,11.81%
10/01/2024,2,Owned,Email,169,143,336,32.61%,247.976265,15,9,8,14,8.88%,5.33%,8.28%,2.38%
10/01/2024,3,Earned,Social Media,183,164,295,46.96%,193.125074,4,3,6,5,2.19%,1.64%,2.73%,2.03%
10/01/2024,4,Earned,Referrals,67,54,101,59.55%,167.780023,18,8,25,2,26.87%,11.94%,2.99%,24.75%
10/01/2024,5,Paid,Google Ads,452,410,866,34.84%,117.970965,2,2,30,13,0.44%,0.44%,2.88%,3.46%
10/01/2024,6,Paid,LinkedIn Ads,168,152,209,59.23%,271.612851,15,3,44,10,8.93%,1.79%,5.95%,21.05%
11/01/2024,1,Owned,Blog,160,147,222,36.87%,167.829996,17,6,46,17,10.63%,3.75%,10.63%,20.72%
11/01/2024,2,Owned,Email,159,137,216,51.94%,184.714279,4,5,43,2,2.52%,3.14%,1.26%,19.91%
11/01/2024,3,Earned,Social Media,425,314,750,58.36%,206.819619,17,3,39,10,4.00%,0.71%,2.35%,5.20%
11/01/2024,4,Earned,Referrals,308,227,518,45.31%,274.892612,5,9,34,6,1.62%,2.92%,1.95%,6.56%
11/01/2024,5,Paid,Google Ads,217,210,331,52.08%,125.196664,19,5,31,9,8.76%,2.30%,4.15%,9.37%
11/01/2024,6,Paid,LinkedIn Ads,324,275,469,44.92%,185.992906,4,4,46,1,1.23%,1.23%,0.31%,9.81%
12/01/2024,1,Owned,Blog,188,141,361,43.20%,273.415997,19,3,39,12,10.11%,1.60%,6.38%,10.80%
12/01/2024,2,Owned,Email,168,144,328,65.71%,222.507456,2,8,13,6,1.19%,4.76%,3.57%,3.96%
12/01/2024,3,Earned,Social Media,88,65,165,55.40%,131.914439,19,6,3,13,21.59%,6.82%,14.77%,1.82%
12/01/2024,4,Earned,Referrals,207,170,252,43.70%,209.335454,12,6,19,14,5.80%,2.90%,6.76%,7.54%
12/01/2024,5,Paid,Google Ads,272,267,326,55.89%,204.094137,6,6,38,18,2.21%,2.21%,6.62%,11.66%
12/01/2024,6,Paid,LinkedIn Ads,145,123,212,61.63%,83.3383022,1,8,23,6,0.69%,5.52%,4.14%,10.85%
13/01/2024,1,Owned,Blog,342,262,522,54.93%,272.870587,13,7,8,17,3.80%,2.05%,4.97%,1.53%
13/01/2024,2,Owned,Email,463,410,696,51.69%,89.0206467,17,1,10,6,3.67%,0.22%,1.30%,1.44%
13/01/2024,3,Earned,Social Media,305,216,408,45.57%,288.514247,13,7,15,2,4.26%,2.30%,0.66%,3.68%
13/01/2024,4,Earned,Referrals,438,337,729,35.83%,140.551435,3,7,17,16,0.68%,1.60%,3.65%,2.33%
13/01/2024,5,Paid,Google Ads,164,140,259,37.37%,164.342555,18,4,8,14,10.98%,2.44%,8.54%,3.09%
13/01/2024,6,Paid,LinkedIn Ads,365,288,729,44.49%,172.955748,9,1,18,6,2.47%,0.27%,1.64%,2.47%
14/01/2024,1,Owned,Blog,430,386,616,38.01%,282.168516,9,7,31,5,2.09%,1.63%,1.16%,5.03%
14/01/2024,2,Owned,Email,198,169,295,48.26%,140.994572,10,9,18,9,5.05%,4.55%,4.55%,6.10%
14/01/2024,3,Earned,Social Media,109,95,188,45.89%,299.826719,17,4,40,2,15.60%,3.67%,1.83%,21.28%
14/01/2024,4,Earned,Referrals,329,326,628,60.58%,227.579635,7,9,16,6,2.13%,2.74%,1.82%,2.55%
14/01/2024,5,Paid,Google Ads,347,257,488,64.84%,103.058417,16,7,46,12,4.61%,2.02%,3.46%,9.43%
14/01/2024,6,Paid,LinkedIn Ads,61,53,109,63.93%,284.599699,1,5,19,3,1.64%,8.20%,4.92%,17.43%
15/01/2024,1,Owned,Blog,314,284,541,64.48%,83.3419187,5,6,6,7,1.59%,1.91%,2.23%,1.11%
15/01/2024,2,Owned,Email,213,155,423,65.86%,125.067214,18,9,31,3,8.45%,4.23%,1.41%,7.33%
15/01/2024,3,Earned,Social Media,389,386,598,64.28%,88.1557354,16,3,22,11,4.11%,0.77%,2.83%,3.68%
15/01/2024,4,Earned,Referrals,428,385,631,58.55%,213.404856,5,3,12,3,1.17%,0.70%,0.70%,1.90%
15/01/2024,5,Paid,Google Ads,147,105,273,56.14%,234.322191,14,7,26,14,9.52%,4.76%,9.52%,9.52%
15/01/2024,6,Paid,LinkedIn Ads,88,72,128,31.20%,236.941018,3,6,8,16,3.41%,6.82%,18.18%,6.25%
16/01/2024,1,Owned,Blog,384,272,733,57.28%,273.915444,18,4,14,5,4.69%,1.04%,1.30%,1.91%
16/01/2024,2,Owned,Email,167,159,250,38.91%,79.3276808,13,4,38,8,7.78%,2.40%,4.79%,15.20%
16/01/2024,3,Earned,Social Media,335,261,419,32.62%,265.506283,2,3,29,1,0.60%,0.90%,0.30%,6.92%
16/01/2024,4,Earned,Referrals,391,291,531,47.32%,186.776181,18,8,16,4,4.60%,2.05%,1.02%,3.01%
16/01/2024,5,Paid,Google Ads,156,127,207,44.01%,82.9487718,13,8,12,14,8.33%,5.13%,8.97%,5.80%
16/01/2024,6,Paid,LinkedIn Ads,468,408,732,55.69%,120.966055,7,9,9,14,1.50%,1.92%,2.99%,1.23%
17/01/2024,1,Owned,Blog,156,141,221,50.98%,88.1712706,6,4,16,13,3.85%,2.56%,8.33%,7.24%
17/01/2024,2,Owned,Email,223,194,297,57.45%,294.432433,17,1,2,19,7.62%,0.45%,8.52%,0.67%
17/01/2024,3,Earned,Social Media,402,317,659,67.23%,184.982745,8,9,25,13,1.99%,2.24%,3.23%,3.79%
17/01/2024,4,Earned,Referrals,319,316,529,55.75%,147.471044,13,8,12,14,4.08%,2.51%,4.39%,2.27%
17/01/2024,5,Paid,Google Ads,463,448,579,57.42%,115.456812,17,1,3,16,3.67%,0.22%,3.46%,0.52%
17/01/2024,6,Paid,LinkedIn Ads,323,270,515,61.13%,262.616391,3,9,39,3,0.93%,2.79%,0.93%,7.57%
18/01/2024,1,Owned,Blog,423,388,837,61.28%,119.290851,17,5,18,4,4.02%,1.18%,0.95%,2.15%
18/01/2024,2,Owned,Email,151,132,195,69.04%,283.814689,8,4,10,1,5.30%,2.65%,0.66%,5.13%
18/01/2024,3,Earned,Social Media,451,402,688,45.10%,254.247593,11,2,4,8,2.44%,0.44%,1.77%,0.58%
18/01/2024,4,Earned,Referrals,123,108,211,44.92%,220.376154,5,7,33,18,4.07%,5.69%,14.63%,15.64%
18/01/2024,5,Paid,Google Ads,169,124,231,37.32%,156.726241,9,9,30,3,5.33%,5.33%,1.78%,12.99%
18/01/2024,6,Paid,LinkedIn Ads,236,169,333,43.93%,81.1795775,13,8,13,1,5.51%,3.39%,0.42%,3.90%
19/01/2024,1,Owned,Blog,262,210,466,56.53%,265.070407,14,6,48,8,5.34%,2.29%,3.05%,10.30%
19/01/2024,2,Owned,Email,484,350,781,60.20%,67.7455892,10,5,17,19,2.07%,1.03%,3.93%,2.18%
19/01/2024,3,Earned,Social Media,215,203,339,65.29%,235.989392,10,3,34,17,4.65%,1.40%,7.91%,10.03%
19/01/2024,4,Earned,Referrals,62,59,110,30.21%,226.597884,19,4,39,13,30.65%,6.45%,20.97%,35.45%
19/01/2024,5,Paid,Google Ads,85,81,136,35.11%,209.153529,4,2,28,5,4.71%,2.35%,5.88%,20.59%
19/01/2024,6,Paid,LinkedIn Ads,106,104,139,40.28%,269.653639,19,1,1,5,17.92%,0.94%,4.72%,0.72%
20/01/2024,1,Owned,Blog,173,138,251,47.88%,163.938588,13,8,22,14,7.51%,4.62%,8.09%,8.76%
20/01/2024,2,Owned,Email,483,443,691,53.11%,247.003064,11,1,29,3,2.28%,0.21%,0.62%,4.20%
20/01/2024,3,Earned,Social Media,270,260,539,44.52%,70.8562776,7,3,30,11,2.59%,1.11%,4.07%,5.57%
20/01/2024,4,Earned,Referrals,180,176,325,42.46%,273.267719,4,9,3,4,2.22%,5.00%,2.22%,0.92%
20/01/2024,5,Paid,Google Ads,131,126,253,34.80%,140.273698,5,4,23,6,3.82%,3.05%,4.58%,9.09%
20/01/2024,6,Paid,LinkedIn Ads,341,244,676,33.86%,267.232956,14,8,38,8,4.11%,2.35%,2.35%,5.62%
21/01/2024,1,Owned,Blog,452,419,656,56.29%,184.15826,16,5,37,11,3.54%,1.11%,2.43%,5.64%
21/01/2024,2,Owned,Email,66,62,117,31.54%,245.546413,16,4,35,14,24.24%,6.06%,21.21%,29.91%
21/01/2024,3,Earned,Social Media,387,358,542,67.29%,298.320315,8,2,35,2,2.07%,0.52%,0.52%,6.46%
21/01/2024,4,Earned,Referrals,118,91,210,69.10%,180.899477,4,6,2,4,3.39%,5.08%,3.39%,0.95%
21/01/2024,5,Paid,Google Ads,121,110,176,68.98%,273.979317,1,4,35,14,0.83%,3.31%,11.57%,19.89%
21/01/2024,6,Paid,LinkedIn Ads,150,128,282,65.58%,112.824927,15,1,21,1,10.00%,0.67%,0.67%,7.45%
22/01/2024,1,Owned,Blog,413,305,814,49.65%,77.3640884,12,4,29,2,2.91%,0.97%,0.48%,3.56%
22/01/2024,2,Owned,Email,420,349,627,61.59%,172.108658,3,9,20,16,0.71%,2.14%,3.81%,3.19%
22/01/2024,3,Earned,Social Media,377,368,695,58.96%,194.201708,6,4,43,18,1.59%,1.06%,4.77%,6.19%
22/01/2024,4,Earned,Referrals,95,78,116,32.44%,263.836599,11,8,17,18,11.58%,8.42%,18.95%,14.66%
22/01/2024,5,Paid,Google Ads,246,241,340,57.09%,202.291265,7,6,37,5,2.85%,2.44%,2.03%,10.88%
22/01/2024,6,Paid,LinkedIn Ads,390,340,523,34.63%,118.650257,15,4,49,2,3.85%,1.03%,0.51%,9.37%
23/01/2024,1,Owned,Blog,410,290,721,31.87%,299.526117,15,3,30,5,3.66%,0.73%,1.22%,4.16%
23/01/2024,2,Owned,Email,242,230,334,35.36%,283.458382,1,2,18,9,0.41%,0.83%,3.72%,5.39%
23/01/2024,3,Earned,Social Media,123,90,182,40.11%,77.4609803,15,8,33,12,12.20%,6.50%,9.76%,18.13%
23/01/2024,4,Earned,Referrals,147,143,229,65.19%,70.563927,16,4,22,17,10.88%,2.72%,11.56%,9.61%
23/01/2024,5,Paid,Google Ads,292,268,356,47.20%,216.509903,5,4,48,15,1.71%,1.37%,5.14%,13.48%
23/01/2024,6,Paid,LinkedIn Ads,196,152,364,39.31%,134.551012,4,3,14,18,2.04%,1.53%,9.18%,3.85%
24/01/2024,1,Owned,Blog,81,73,124,30.21%,62.7252308,14,1,2,17,17.28%,1.23%,20.99%,1.61%
24/01/2024,2,Owned,Email,351,314,601,31.21%,278.417428,17,4,47,9,4.84%,1.14%,2.56%,7.82%
24/01/2024,3,Earned,Social Media,448,406,576,40.59%,294.022723,16,7,47,12,3.57%,1.56%,2.68%,8.16%
24/01/2024,4,Earned,Referrals,233,210,444,45.72%,281.961556,15,7,19,15,6.44%,3.00%,6.44%,4.28%
24/01/2024,5,Paid,Google Ads,301,216,385,42.72%,186.228225,9,9,26,16,2.99%,2.99%,5.32%,6.75%
24/01/2024,6,Paid,LinkedIn Ads,335,315,445,65.07%,245.690497,7,3,2,17,2.09%,0.90%,5.07%,0.45%
25/01/2024,1,Owned,Blog,264,222,409,38.11%,161.661033,3,1,7,7,1.14%,0.38%,2.65%,1.71%
25/01/2024,2,Owned,Email,469,336,929,43.26%,109.455249,15,2,28,2,3.20%,0.43%,0.43%,3.01%
25/01/2024,3,Earned,Social Media,315,230,536,69.92%,297.093401,5,5,20,16,1.59%,1.59%,5.08%,3.73%
25/01/2024,4,Earned,Referrals,247,224,377,36.57%,274.505461,6,1,23,4,2.43%,0.40%,1.62%,6.10%
25/01/2024,5,Paid,Google Ads,442,406,646,61.67%,85.9597259,12,3,28,18,2.71%,0.68%,4.07%,4.33%
25/01/2024,6,Paid,LinkedIn Ads,121,96,162,36.65%,117.717695,9,2,15,14,7.44%,1.65%,11.57%,9.26%
26/01/2024,1,Owned,Blog,65,52,86,55.79%,139.879437,8,7,26,10,12.31%,10.77%,15.38%,30.23%
26/01/2024,2,Owned,Email,445,332,685,65.71%,84.8588312,2,4,47,11,0.45%,0.90%,2.47%,6.86%
26/01/2024,3,Earned,Social Media,252,246,362,45.54%,176.705301,6,8,43,8,2.38%,3.17%,3.17%,11.88%
26/01/2024,4,Earned,Referrals,99,96,166,53.81%,236.876457,19,6,41,18,19.19%,6.06%,18.18%,24.70%
26/01/2024,5,Paid,Google Ads,412,333,727,55.98%,282.71428,2,6,2,5,0.49%,1.46%,1.21%,0.28%
26/01/2024,6,Paid,LinkedIn Ads,300,234,448,45.20%,194.508141,11,8,29,15,3.67%,2.67%,5.00%,6.47%
27/01/2024,1,Owned,Blog,96,75,173,43.72%,204.875861,14,8,48,15,14.58%,8.33%,15.63%,27.75%
27/01/2024,2,Owned,Email,217,196,394,55.89%,152.577376,15,6,9,19,6.91%,2.76%,8.76%,2.28%
27/01/2024,3,Earned,Social Media,84,71,112,35.94%,245.58219,13,2,32,11,15.48%,2.38%,13.10%,28.57%
27/01/2024,4,Earned,Referrals,354,247,573,45.22%,296.486362,17,3,48,12,4.80%,0.85%,3.39%,8.38%
27/01/2024,5,Paid,Google Ads,480,417,647,34.19%,87.974067,1,7,5,4,0.21%,1.46%,0.83%,0.77%
27/01/2024,6,Paid,LinkedIn Ads,453,407,689,33.43%,75.0453269,3,9,9,7,0.66%,1.99%,1.55%,1.31%
28/01/2024,1,Owned,Blog,102,77,149,42.13%,295.298351,6,8,23,11,5.88%,7.84%,10.78%,15.44%
28/01/2024,2,Owned,Email,237,233,374,69.56%,239.928347,6,9,45,12,2.53%,3.80%,5.06%,12.03%
28/01/2024,3,Earned,Social Media,171,143,283,68.20%,295.028717,16,7,44,16,9.36%,4.09%,9.36%,15.55%
28/01/2024,4,Earned,Referrals,374,310,459,60.81%,180.505339,18,7,48,3,4.81%,1.87%,0.80%,10.46%
28/01/2024,5,Paid,Google Ads,348,314,423,34.09%,130.122568,16,7,7,17,4.60%,2.01%,4.89%,1.65%
28/01/2024,6,Paid,LinkedIn Ads,443,359,655,48.80%,154.59861,5,5,1,11,1.13%,1.13%,2.48%,0.15%
29/01/2024,1,Owned,Blog,430,408,743,36.09%,299.057105,4,3,17,19,0.93%,0.70%,4.42%,2.29%
29/01/2024,2,Owned,Email,356,262,639,39.70%,182.404848,8,6,29,12,2.25%,1.69%,3.37%,4.54%
29/01/2024,3,Earned,Social Media,133,115,228,52.82%,125.682612,7,4,23,2,5.26%,3.01%,1.50%,10.09%
29/01/2024,4,Earned,Referrals,367,315,546,33.03%,296.167272,9,5,24,9,2.45%,1.36%,2.45%,4.40%
29/01/2024,5,Paid,Google Ads,91,65,112,66.53%,133.211208,11,1,20,7,12.09%,1.10%,7.69%,17.86%
29/01/2024,6,Paid,LinkedIn Ads,271,243,412,60.73%,186.651534,10,6,12,18,3.69%,2.21%,6.64%,2.91%
30/01/2024,1,Owned,Blog,361,273,441,33.37%,160.765836,15,1,36,7,4.16%,0.28%,1.94%,8.16%
30/01/2024,2,Owned,Email,93,65,112,62.11%,207.288511,2,7,22,5,2.15%,7.53%,5.38%,19.64%
30/01/2024,3,Earned,Social Media,351,295,624,33.91%,88.1979824,6,2,23,19,1.71%,0.57%,5.41%,3.69%
30/01/2024,4,Earned,Referrals,316,288,511,65.44%,267.199228,8,7,20,14,2.53%,2.22%,4.43%,3.91%
30/01/2024,5,Paid,Google Ads,427,357,786,59.74%,267.909979,2,8,38,3,0.47%,1.87%,0.70%,4.83%
30/01/2024,6,Paid,LinkedIn Ads,322,228,611,47.78%,180.574391,5,9,7,2,1.55%,2.80%,0.62%,1.15%
31/01/2024,1,Owned,Blog,420,362,728,50.90%,74.9113933,11,9,29,4,2.62%,2.14%,0.95%,3.98%
31/01/2024,2,Owned,Email,199,176,395,65.49%,243.616788,15,4,38,8,7.54%,2.01%,4.02%,9.62%
31/01/2024,3,Earned,Social Media,426,360,848,66.49%,88.4038642,15,6,15,18,3.52%,1.41%,4.23%,1.77%
31/01/2024,4,Earned,Referrals,283,279,408,40.67%,245.062055,13,4,1,18,4.59%,1.41%,6.36%,0.25%
31/01/2024,5,Paid,Google Ads,463,419,573,34.07%,92.2016731,6,2,39,16,1.30%,0.43%,3.46%,6.81%
31/01/2024,6,Paid,LinkedIn Ads,435,357,544,58.46%,196.760211,14,3,48,3,3.22%,0.69%,0.69%,8.82%
01/02/2024,1,Owned,Blog,317,250,505,56.28%,170.652053,18,7,45,9,5.68%,2.21%,2.84%,8.91%
01/02/2024,2,Owned,Email,442,358,803,43.59%,112.350723,6,5,43,18,1.36%,1.13%,4.07%,5.35%
01/02/2024,3,Earned,Social Media,492,435,902,63.43%,176.03016,19,4,37,8,3.86%,0.81%,1.63%,4.10%
01/02/2024,4,Earned,Referrals,207,161,265,41.47%,107.195109,16,2,12,6,7.73%,0.97%,2.90%,4.53%
01/02/2024,5,Paid,Google Ads,464,366,796,68.82%,248.533208,14,8,28,9,3.02%,1.72%,1.94%,3.52%
01/02/2024,6,Paid,LinkedIn Ads,125,88,189,36.17%,96.6581621,19,9,7,12,15.20%,7.20%,9.60%,3.70%
02/02/2024,1,Owned,Blog,341,285,605,48.52%,133.753576,16,4,41,10,4.69%,1.17%,2.93%,6.78%
02/02/2024,2,Owned,Email,484,393,835,44.38%,276.088188,16,1,8,4,3.31%,0.21%,0.83%,0.96%
02/02/2024,3,Earned,Social Media,173,123,239,47.87%,260.877688,15,7,9,2,8.67%,4.05%,1.16%,3.77%
02/02/2024,4,Earned,Referrals,372,264,683,62.80%,176.59077,5,9,8,6,1.34%,2.42%,1.61%,1.17%
02/02/2024,5,Paid,Google Ads,320,224,434,41.49%,167.21682,7,9,2,12,2.19%,2.81%,3.75%,0.46%
02/02/2024,6,Paid,LinkedIn Ads,393,366,500,50.06%,88.7341078,6,3,1,2,1.53%,0.76%,0.51%,0.20%
03/02/2024,1,Owned,Blog,262,242,399,33.48%,283.410489,4,2,6,12,1.53%,0.76%,4.58%,1.50%
03/02/2024,2,Owned,Email,287,278,528,42.44%,179.624349,14,8,27,18,4.88%,2.79%,6.27%,5.11%
03/02/2024,3,Earned,Social Media,246,194,464,53.45%,143.679647,7,8,27,12,2.85%,3.25%,4.88%,5.82%
03/02/2024,4,Earned,Referrals,343,253,642,32.39%,144.06509,10,1,39,8,2.92%,0.29%,2.33%,6.07%
03/02/2024,5,Paid,Google Ads,100,70,158,49.00%,164.611922,6,1,27,7,6.00%,1.00%,7.00%,17.09%
03/02/2024,6,Paid,LinkedIn Ads,395,337,589,44.85%,125.612013,19,7,5,8,4.81%,1.77%,2.03%,0.85%
04/02/2024,1,Owned,Blog,177,157,321,60.76%,265.576192,17,7,37,19,9.60%,3.95%,10.73%,11.53%
04/02/2024,2,Owned,Email,253,238,309,39.56%,132.326539,18,1,45,6,7.11%,0.40%,2.37%,14.56%
04/02/2024,3,Earned,Social Media,237,179,303,59.94%,168.636847,11,4,17,7,4.64%,1.69%,2.95%,5.61%
04/02/2024,4,Earned,Referrals,50,37,80,69.23%,161.03648,13,6,9,16,26.00%,12.00%,32.00%,11.25%
04/02/2024,5,Paid,Google Ads,216,201,385,35.87%,168.931254,9,7,31,13,4.17%,3.24%,6.02%,8.05%
04/02/2024,6,Paid,LinkedIn Ads,148,144,183,37.26%,86.9338358,6,8,37,12,4.05%,5.41%,8.11%,20.22%
05/02/2024,1,Owned,Blog,237,217,453,69.56%,219.085555,6,1,11,18,2.53%,0.42%,7.59%,2.43%
05/02/2024,2,Owned,Email,414,363,807,38.70%,70.4917632,17,4,42,13,4.11%,0.97%,3.14%,5.20%
05/02/2024,3,Earned,Social Media,478,471,605,68.04%,68.3974411,5,3,5,19,1.05%,0.63%,3.97%,0.83%
05/02/2024,4,Earned,Referrals,353,331,694,61.96%,78.7182763,15,1,17,11,4.25%,0.28%,3.12%,2.45%
05/02/2024,5,Paid,Google Ads,55,54,94,60.30%,65.2005434,11,6,34,11,20.00%,10.91%,20.00%,36.17%
05/02/2024,6,Paid,LinkedIn Ads,158,150,309,44.85%,222.18125,8,2,45,13,5.06%,1.27%,8.23%,14.56%
06/02/2024,1,Owned,Blog,488,400,857,33.71%,99.9700975,7,5,46,13,1.43%,1.02%,2.66%,5.37%
06/02/2024,2,Owned,Email,429,419,795,54.57%,113.157643,15,6,46,12,3.50%,1.40%,2.80%,5.79%
06/02/2024,3,Earned,Social Media,375,302,522,52.22%,281.744324,10,9,27,17,2.67%,2.40%,4.53%,5.17%
06/02/2024,4,Earned,Referrals,401,290,677,44.76%,243.664886,7,8,2,16,1.75%,2.00%,3.99%,0.30%
